Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1
In re Oliver,333 U.S. 257,1948,"Petitioner appeared as a witness before a judge who was conducting a serect ""one man jury"" (in accordance with Michigan law) on the petitioner. The judge found the testimony false based on a previous testimony given when the petitoner was not present, and charging him with contempt sentenced him to sixty days in jail.",Discussing if varied incorportation of the 14th amendment across the states is valid and protects people,1,Rutledge,2,1,6,-,"right to be informed, right to a lawyer",3,-,1,1,1,Adamson v. California
Bute v. Illinois,333 U.S. 640,1948,"Bute pleaded guilty to and was charged with esentially indcient exposure to children from what I can tell, sentenced for 20 years. He did not have an attorney and the state did not provide one for him. ","Saying that not confirming if a lawyer was appointed was not a violation of law unless it violetes ""scheme of ordered liberty"" (Palko)",1,Burton,1,1,5,-,right to counsel ,1,2,0,0,0,"Palko v. Connecticut,Snyder v Massachusetts"
Kovacs v. Cooper,336 U.S. 77,1949,"Kovacs was driving around playing loud muisc and using a noise amplifier, and convicted under a local noise ordinance. He filed for an appeal under his First Amendment right being violated but the conviction was upheld, ","Noise ordinance violating freedom of speech, DPC because ordinance was vaguely worded",1,Reed,1,1,1,-,"freedom of speech, vagueness doctrine",1,-,0,0,0,Palko v. Connecticut
Wolf v. Colorado,338 U.S. 25,1949,"The main question is asking whether the 14th Amendment incorporates the 4th Amendment and the exclusionary rule. Adopting a selective incorporation approach, the Court decided that the 4th Amendment does apply to the states through the 14th Amendment, but the exclusionary rule, which prevents the state from using evidence obtained through unreasonable searches and seizures, is not incorporated.","Says that the 4th Amendment is a part of our scheme of ordered liberty, but that a remedy/enforcement of such a right is not necessarily a implicit in ordered liberty.",0,Frankfurter,1,1,4,-,"unreasonable search and seizure, exclusionary rule",1,-,1,0,0,"Palko v. Connecticut,Adamson v. California"
Wolf v. Colorado,338 U.S. 25,1949,"The main question is asking whether the 14th Amendment incorporates the 4th Amendment and the exclusionary rule. Adopting a selective incorporation approach, the Court decided that the 4th Amendment does apply to the states through the 14th Amendment, but the exclusionary rule, which prevents the state from using evidence obtained through unreasonable searches and seizures, is not incorporated and should be dealt with through legislatures.","Stresses that ordered liberty very much incorporates the 4th amendment's protection against the arbitrary intrusion of the police, that this is essential to maintaining a free society. Does not include the exclusionary rule, however.",0,Black,2,1,4,-,"unreasonable search and seizure, exclusionary rule",1,-,1,0,0,Palko v. Connecticut
Wolf v. Colorado,338 U.S. 25,1949,"The main question is asking whether the 14th Amendment incorporates the 4th Amendment and the exclusionary rule. Adopting a selective incorporation approach, the Court decided that the 4th Amendment does apply to the states through the 14th Amendment, but the exclusionary rule, which prevents the state from using evidence obtained through unreasonable searches and seizures, is not incorporated.","Agrees with the majority opinion that ordered liberty incorporates the unreasonable search and seizure clause, but says that without the exclusionary rule, there is no effective sanction. Essentially, the Justice rejects the imarginary alternatives that the Court is putting forth, saying that right now/at the time, the only way to enforce the 4th amendment is through the exclusionary rule. So without the exclusionary rule, there is no free society, no ordered liberty. Rejects a bit of the imaginary ordered liberty for a more grounded-in-our-current-system ordered liberty.",0,Murphy (Rutledge),3,1,4,-,"unreasonable search and seizure, exclusionary rule",1,-,1,0,1,"Palko v. Connecticut,Adamson v. California"
Wolf v. Colorado,338 U.S. 25,1949,"The main question is asking whether the 14th Amendment incorporates the 4th Amendment and the exclusionary rule. Adopting a selective incorporation approach, the Court decided that the 4th Amendment does apply to the states through the 14th Amendment, but the exclusionary rule, which prevents the state from using evidence obtained through unreasonable searches and seizures, is not incorporated and should be dealt with through legislatures.","Same argument as Murphy, Agrees that ordered liberty includes the 4th amendment search and seizure, but says that without the exclusionary rule, you are only paying the bill of rights ""lip service""",0,Rutledge,3,1,4,-,"unreasonable search and seizure, exclusionary rule",1,-,1,0,1,Palko v. Connecticut
Stefanelli v. Minard,342 U.S. 117,1951,"Unwarranted searches and seizures were conducted by Newark Police officers, violating the 4th Amendment. The defendants sought relief from the federal district court to prevent the use of evidence obtained from the search in their criminal trial. But, the district court dismissed the complaint and a lower appellate court affirmed this dismissal. The Supreme Court also affirmed the dismissal.",mentioned,1,Frankfurter,1,1,4,-,unreasonable search and seizure,1,,1,0,0,Palko v. Connecticut
Rochin v. California,342 U.S. 165,1952,"After swallowing two pills, an emetic was forced into the petitioner's stomach without his consent. The morphine found in the petitioner's puke was used convict him.  Did this involuntary police procedure infringe the 5th Amendment (privilege against self-incrimination) and 14th Amendment (due process).",mentioned,1,FRANKFURTER,1,1,5,-,protection from self-incrimination,1,-,1,1,1,Palko v. Connecticut
Beauharnais v. Illinois,343 U.S. 250,1952,"Beauharnais was president of the ""White Circle League"" which petitioned Chicago government officials to halt harrassment against white people. He distributed media that reinforced the criminality of black citizens and called for the unity of white people against African Americans.  Did his convinction violate his constitutional right to free speech under the first and fourth amendment?","while states may have the authority to punish criminal libel, it must be done so in a manner that respects individual freedoms",0,"Jackson, Reed",3,1,1,-,freedom of speech,1,,1,0,1,Palko v. Connecticut
Leland v. Oregon,343 U.S. 790,1952,"An Oregon State Court convicted Leland to first degree murder. He presented a defense of insanity but the state required him to prove he was insane beyond a reasonable doubt. The Supreme Court affirmed the Oregon State court's conviction. Due process wasn't violated ""either by the state's casting upon the defendant the burden of proving insanity ""beyond a reasonable doubt"" or by its choosing ""the right and wrong"" test rather than the ""irresistible impulse"" test of insanity.""",not included,not included,CLARK,1,1,-,-,,1,,1,1,1,Palko v. Connecticut
HOAG v. NEW JERSEY,356 U.S. 464,1958,"The petitioner was initially charged with robbing three victims at a tavern. In the first trial, he was acquitted. Later, a new indictment was issued, focusing on the robbery of a fourth victim. In the second trial, only the fourth victim testified, leading to a guilty verdict. The court affirmed the petitioner's conviction for robbery. They said that this did not violate double jeopardy, each robbery was considered a separate offense, even though they occurred on the same occasion.","OL is mentioned twice in the opinion, first it was used by the petitioner to claim that his 14th Amendment right to due process was violated plus the double jeopardy clause of the fifth amendment. Later it is used by Harlan to claim that the petitioner’s ordered liberties has not been violated by the State. The court argued that the state's decision to retry the petitioner was not arbitrary, the witnesses had failed to identify the petitioner in the first trial. The court is essentially asserting that, despite the unexpected events of a retrial, the state's actions do not go beyond the limits in ensuring a fair legal process, required by the notion of ""ordered justice"" or due process. ",0,Harlan,1,1,5,-,double jeopardy,1,-,0,0,0,Palko v. Connecticut
BARTKUS v. ILLINOIS,359 U.S. 121,1959,"The petitioner was acquitted in a federal prosecution for bank robbery. Later, the petitioner was convicted in the Criminal Court of Cook County, Illinois, for violating the Illinois robbery statute. The state had identical facts as the federal indictment. The U.S. Supreme Court again affirmed the state court judgment.","Mentioned twice, once in opinion and once in footnotes. Ordered liberty is used to explain that the double jeopardy clause and due process, which prohibits multiple prosecutions for the same offense by the federal government, did not apply to the states through the Fourteenth Amendment. They quoted Palko for this. Ordered liberty was used to justify denying the double jeopardy clause to the petitioner. ",0,Frankfurter,1,1,5,-,double jeopardy,1,-,0,0,0,Palko v. Connecticut
NAPUE v. ILLINOIS,360 U.S. 264,1959,"At the petitioner’s trial, their main witness, an accomplice to the petitioner, lied in his testimony saying that the prosecution did not promise him any benefits. But actually the prosecution had said “a recommendation for a reduction of his (the witness’) sentence would be made…” The petitioner filed a post-conviction petition, alleging that the witness’ testimony was false, the prosecutor knew it, and the failure to correct it violated due process under the Fourteenth Amendment. In the end, the court says the failure of the prosecutor to correct the testimony, which he knew was false, denied the petitioner due process of law. ","Ordered liberty is used to protect the petitioner’s right to due process under the 14th amendment because the term is used to support the argument that a State cannot use false evidence in order to convict someone. Knowingly using false evidence is something you cannot do, they claim this is “implicit in any concept of ordered liberty”",0,Warren,1,1,-,-,due process,1,-,1,1,1,-
Ohio ex rel. Eaton v. Price,364 U.S. 263,1960,"The petitioner was sent to jail for denying an Ohio municipal ordinance after he denied entry to house inspectors. The ordinance allowed housing inspectors, upon showing appropriate identification, to enter dwellings. It also required owners or occupants to give these inspectors free access. The petitioner said that they did not have identification. The case involved a dispute over the constitutionality of a city ordinance granting broad inspection powers to house inspectors; the court had a split opinion on the matter. The judgment was reversed, affirming that the charges against petitioner for refusing entry without a warrant would undermine the Fourth Amendment's protections.","OL is used in protecting individuals' privacy against arbitrary intrusion. The Fourth Amendment's protection against arbitrary intrusion by the police, implicit in the concept of ""ordered liberty,"" should be enforceable against the states. While the term, ordered liberty is just mentioned once, Palko is used throughout the case. The idea of a ""process of absorption"" from Palko implies a gradual inclusion of fundamental rights into the Fourteenth Amendment's protection against state infringement.",0,PER CURIAM,4,1,4,-,unreasonable searches and seizures,1,-,1,1,1,
Elkins v. United States *,364 U.S. 206,1960,"The defendants were convicted of intercepting and divulging telephone communications. This is due to evidence that was obtained through can unrelated warrant. Evidence was obtained District courts denied the defendant's motion to suppress the evidence due to claims that the search was unlawful, but the court stated that no federal officers were involved in the search conducted by state officers until it was reported. ","4th Amendment's protection against unreasonable searches and seizures apply to actions by federal officers AND state officers through DPC, is implicit in ordered liberty",0,Stewart ,1,1,4,-,unwarranted search and seizure ,1,-,1,1,1,Wolf v. Colorado
Monroe v. Pape,365 U.S. 167,1961,"A complaint case was filed by a family against Chicago police officers and the city of Chicago as the officers unlawfully entered their home without a warrant, searched it, and arrested the husband without proper legal procedure. Originally, the District Court dismissed the complaints. The Supreme Court reversed the dismissal against the police officers but affirmed the dimissal against the dismall against the city of Chicago. ",mentioned,1,FRANKFUTHER,3,1,4,-,unwarranted search and seizure ,1,-,1,0,0,Palko v. Connecticut
Cohen v. Hurley,366 U.S. 117,1961,"A lawyer in New York refused to answer questions during a judicial investigation into alleged professional misconduction, to whch he cited his state privilege against self-incrimination. The Appellate Division of the Supreme Court of NY disbarred him for refusing to participate, to which the NY courts of Appeals and the Supreme court affirmed. ",OL was used to as a threshold to protect the petitioner's 5th Amendment right against self incrimination,1,"Brennan, Warren",3,1,5,-,immunity from compulsory self-incrimination,1,-,1,1,1,Palko v. Connecticut
Mapp v. Ohio,367 U.S. 643,1961,Mapp was convicted of possessing obscene material after an illegal police search in her home. ,OL was used to protect individual privacy rights against arbitrary intrusion,0,Clark,1,1,4,-,unreasonable search and seizure,1,-,1,1,1,Palko v. Connecticut
Mapp v. Ohio,367 U.S. 643,1961,Mapp was convicted of possessing obscene material after an illegal police search in her home. ,OL was to challege the majority's reasoning. ,0,"Harlan, Frankfurter, Whittaker",3,1,4,-,unreasonable search and seizure,1,-,1,0,0,Wolf v. Colorado
Poe v. Ullman,367 U.S. 497,1961,"2 married couples and a doctor sue the state of Connecticut for banning the use and prescription of contraceptives. The Supreme Court dissmisses their suit on the grounds that the law is almost never enforced, and that it therefore does not constitute a pressing legal issue of the kind the Supreme Court is required to rule about.",The right to privacy assured in the 4th amendment and expanded upon by jurisprudence is necessary to the ordered liberty guaranteed by the 14th,0,Douglas,3,1,4,3,"privacy, protection from government intrusion","1,3",2,1,0,1,"Wolf v. Colorado,Prince v. Massachusetts"
Robinson v. California,370 U.S. 660,1962,"A defendant in the State of California was found guilty under California drug laws based on needle marks/scars in his arm. This conviction was upheld by lower courts. The Supreme Court overturned his conviction, arguing that, since no evidence was ever actually presented of the defendant using illicit substances at the time of his arrest (or even within the state of California), the man was convicted specifically of being addicted to narcotics (which is a clause in the law in question). This was found by the court to constitute cruel and unusual punishment.",Does the criminalisation of addition constitute cruel and unusual punishment?,1,"Clark, White",3,1,8,-,cruel and unusual punishment,1,,0,1,0,
Gideon v. Wainwright,372 U.S. 335,1963,"A defendant in Florida was convicted of a felony after the court denied his request for an attorney (the defendant was not able to afford one), which was legal for non-capital offences. While lower courts upheld the conviction, the Supreme Court (unanimously) overturned it, on the basis that the 6th amendment guarantees the right to an attorney and the 14th requires that this be done on a state level as well, overruling Betts v. Brady (1942).",Is the right to an attorney implicit in ordered liberty?,0,"Black, Harlan","1, 2",1,6,-,right to an attorney,1,3,1,1,1,Palko v. Connecticut
Ker v. California,374 U.S. 23,1963,"After seeing a man purchase cannabis, a group of police officers entered his home silently without a warrant, found the cannabis, and arrested the man and his wife. The defendants were convicted, but sought to overturn the ruling on the basis that it violated their 4th amendment protection from unreasonable search and seizure. The Supreme Court upheld their conviction.",Is protection from unreasonable search and seizure covered under ordered liberty?,0,Harlan,2,1,4,-,unreasonable search and seizure,1,,1,0,0,Wolf v. Colorado
Malloy v. Hogan,378 U.S. 1,1964,"The petitioner had pleaded guilty to a gambling misdemenor and was then ordered to testify in Connecticut court about gambling and other criminal actvities. He refused, saying that his answers might incriminate him. He was held in contempt and committed to prision until he testified. The state court denied application for writ of habeus corpus because Fifth Amendment protections(privliege against self incrimination) did not apply to state court. On certiorari, SC held that 14th guarenteed 5th protections. The 5th Amendment's self incrimination clause was incorported into the state courts.",OL was quoted from two cases in the dissenting opinion to show how the 5th Amendment had not been incorporated and should not continue the incoroportation of Amendments 1-8,1,Harlan,3,1,5,-,protection against self incrimination,-,-,0,1,0,"Lisbena v. California,Palko v. Connecticut"
Pointer v. Texas,380 U.S. 400,1965,"Petitioner, a defendant in a robbery trial, was convicted due to a written testimony by a witness who moved out of state and could not come to the court in person. Pointer petitioned for the violation of his right to confrontation, since he could not cross examine the testimony. Using the incorporation doctrine, Black/the Court concluded that the right of confrontation was applicable to the states through the 14th Amendment.","Justice Harlan agreed with the Court on the result, but he dismissed the incorporation doctrine, saying that the reason why the right to confrontation was applicable to the states was because this right is implicit in the concept of ordered liberty.",0,Harlan,2,1,6,-,confrontation,1,-,1,1,1,Palko v. Connecticut
Douglas v. Alabama,380 U.S. 415,1965,"Douglas was a defendant in an assault and attempted murder trial. He was tried in a trial separate from an accomplice, and although he refused to testify on self-incrimination grounds. The prosecutor read the accomplice's testimony he gave in his own trial, which incriminated both him and Douglas. Douglas, found guily, petitioned for the violation of his 6th Amendment right to confrontation because he could not cross examine the testimony's witness in court. Like in Pointer v. Texas, the Court found that the 14th Amendment incorporated the right to confrontation.","Same as Pointer v. Texas, just said that the reasonn why it applied was because of the ordered liberty test, not the incorporation doctrine.",0,Harlan,2,1,5,-,confrontation,1,-,1,1,1,Palko v. Connecticut
Linkletter v. Walker,381 U.S. 618,1965,"Victor Linkletter was convicted based upon evidence that was obtained illegally (in violation of the 4th amendment). He sought a retrial arguing that the Mapp vs Ohio case, which barred the use of evidnce obtained in violation of the 4th amendment, should apply to his case retroactively. Court ruled the Mapp decision (exclusioanry rule) would not apply to Linkletter. Question: Did exclusioanry rule appy rectroactively? ",Used to weigh the benefits of applying the exclusionary rule rectroactively against the stability of prior convictions (which would be altered if all rule could be applied retroactively) and the impact on justice administration. ,0,Clark,1,1,4,-,unreasonable search and seizure,1,-,1,0,0,Mapp v. Ohio
Griswold v. Connecticut,381 U.S. 479,1965,"Estelle Griswold, the executive director of the Planned Parenthood League of Connecticut, adn Dr. C. Lee Buxton were convicted under the Connecticut Law (that prohibited the use of contraceptives, even by married couples) for provding contraceptive advice and services to married couples. They appealed their conviction by arguing that the law infrigned upon the constitutional rights of marrried couples. The case argued wether the Connecticut law violated married couple's right to privacy.  The case invoked the 1st, 3rd 4th, 5th, and 9th amendmemts which were used to argue that married couples had the right t make their own decisions without governement intervention. Court ruled in favor of plaitiffs, that the statute violated right to marital privacy. ","Used to argue that the right to privacy in martial relations is a fundamental right  (so rooted in the conscience of our people) that without it, freedom and liberty can't exist in an ordered society. Douglas argued that the right to privacy is related to several Bill of Rights protections, implying that without this right, the Bill of Righst would not have a lot of meaning. Argued that the autonomy over personal desicions is essential for the integrity of individuals in a free society, and this decision should be free from government intervention. ",0,Harlan,2,1,"1, 3, 4, 5, 9",-,"due process clause (prohbits states from depriving any person of ""life, liberty, or property"" without due process of law ",1,-,1,1,1,Palko v. Connecticut
Estes v. Texas,381 U.S. 532,1965,"Billy Sol Estes argued that his trial was unfair becasue of excessive media presence (inclduing live broadcasting).. Question of the case: does the media's presence violate his 6th amednemnt right to a fair trial? Court ruled inn favor of Estes, saying the media compromised the judicial process. ",OL was used to balance public acess to the court and the defendant's right to a fair trial. ,0,Warren,1,1,6,-,right to fair trial,1,-,1,1,1,Palko v. Connecticut
Tehan v. United States,382 U.S. 406,1966,"John Tehan was convicted of a burglary and durign the trial a proescuter commented on his failure to testify, suggesting this indicated his guilt. Tehan argued this violated his 5th amendment rights (protection against self-incrimination) as incorporated against the states through 14th amendment's due process clause. Question: does the prosecuter's comments violate his 5th amendment rights? Court ruled in favor of state, upholding his conviction. Court did not apply the Griifn v California decision retroactively to this case whihc decided that these commenst were unconstitutional. ",Underlies the Court's decision consideration of the balance between the defendant's rights and the judicial system's integrity (court case desicions cannot be applied retroactively). ,0,Clark,1,1,5,-,protection against self-incrimination,1,-,1,0,0,Wolf v Colorado
Rosenblatt v. Baer,383 U.S. 75,1966,"A defamation suit on a government official--was decided through the 1st Amendment that the journalist had a right to do so, and you cannot charge them unless you have proof that they are knowingly lying to destroy your reputation. Rosenblatt pitted two competing interests against each other—an individual’s interest to maintain and repair their reputation against our right to a free press (necessary to maintain a check on government power).","Even as J. Stewart agreed with the majority about upholding the respondent’s 1st Amendment right to free press, he stresses the importance of being able to defend one's reputation from slander and defamation, saying that to do so must be part of the foundation of ordered liberty.",0,Stewart,2,1,4,,unenumerated,4,-,1,0,0,
Parker v. Gladden,385 U.S. 363,1966,"As the petitioner was going through trial facing 2nd degree murder, his bailiff was telling the jury secretly that the petitioner was guilty. When the inmate filed a petition for post-conviction relief, the state supreme court denied it, then the U.S. supreme court reversed it, stating that because the bailiff was an officer of the state, his word would have significant effect on the jury violating his right to a fair trial. ","OL is mentioned in the Dissent, when Harlan is referring to one of the court cases cited in the Opinion, Pointer v. Texas, which he disagrees with.",1,Harlan,3,1,-,-,due process,-,-,1,1,1,Pointer v. Texas
"Time, Inc. v. Hill",385 U.S. 374,1967,"Time Inc v. Hill dealt with New York privacy law pertaining to a magazine’s false association of a family’s experience in a hostage situation with a theater production’s depiction of a family surviving a similar situation. The ruling decided that New York’s privacy law was constitutional, but it decided that in the trial proceedings, authorities failed to inform the jury about how liability is only assigned to either intentional or reckless falsity, so the family had to go to court once more. ","In dissent, Justice Fortas advocated for the family, saying that after many years of fighting for their privacy rights in court, they should not have to fight for it again in a lower court. To accentuate his point, Fortas drew quotes from Rosenblatt, saying “[Harlan] referred to the ‘protection of private personality, like the protection of life itself,’ as entitled to ‘recognition by this Court as a basic (sic) of our constitutional system.’” According to Harlan and Fortas, protecting individuals’ private rights from state (and other actors) infringement should be a part of our nation’s ordered liberty.",0,Fortas,3,0,1,4,"free press, unenumerated privacy",4,1,1,0,1,Rosenblatt v. Baer
Duncan v. Louisiana,391 U.S. 145,1968,Duncan dealt with the 6th Amendment guarantee of a jury trial applied to a simple battery case in Louisiana.,"The majority opinion, delivered by Justice White, broke away from Palko’s understanding of ordered liberty:
Earlier the Court can be seen as having asked, when inquiring into whether some particular procedural safeguard was required of a State, if a civilized system could be imagined that would not accord the particular protection. . . . The recent cases, on the other hand, have proceeded upon the valid assumption that state criminal processes are not imaginary and theoretical schemes but actual systems bearing virtually every characteristic of the common-law system that has been developing contemporaneously in England and in this country. The question thus is whether given this kind of system a particular procedure is fundamental — whether, that is, a procedure is necessary to an Anglo-American regime of ordered liberty.
Duncan’s majority latched onto a more grounded and organic ordered liberty, one that does not ask what an imaginary society could hypothetically endure (like in Palko) nor one that would only consider singular points of history (like 1868, which our current court loves to reference). Through this method of ordered liberty, the majority used both our nation’s legal history and our (at the time) current legal system’s practices of guaranteeing jury trials as evidence for why the right to a jury trial was essential to our scheme of ordered liberty. ",0,White,1,1,6,-,jury trial,3,1,1,1,1,
Duncan v. Louisiana,391 U.S. 145,1968,Duncan dealt with the 6th Amendment guarantee of a jury trial applied to a simple battery case in Louisiana.,"Agrees with majority, but calls for total incorporation above selective incorporation",0,Black,1,1,6,-,jury trial,3,1,1,1,1,"Palko v. Connecticut,Adamson v. California"
Duncan v. Louisiana,391 U.S. 145,1968,Duncan dealt with the 6th Amendment guarantee of a jury trial applied to a simple battery case in Louisiana.,"Says that the right to jury trial is not implicit in ordered liberty, and says that precedent using ordered liberty had not affirmed such a right before, therefore they should not overturn this precedent needlessly",0,"Harlan, Stewart",1,1,6,-,jury trial,3,1,0,0,0,"Palko v. Connecticut,Adamson v. California"
Foster v. California,394 U.S. 440,1969,"The petitioner was convicted for robbery. In the first lineup, the sole eye witness was not sure if the petitioner was the robber, his physical descriptions did not match, and the police gave the witness the opportunity to talk one-on-one with the petitioner without any legal counsel present. The witness did not confirm that this was the robber. Then they had a second lineup with the petitioner being the only repeat man on lineup, suggesting and insinuating to the witness that the petitioner was the robber, but the witness still did not confirm until later during the actual trial. The opinion of the supreme court said that the first lineup was inconsequential but the second lineup had suggestive elements violating the right to due process leading them to reverse the conviction","n the dissent, Black uses ordered liberty to disagree with the power of the court in this scenario to have just a broad interpretation of due process. Through the dissent, Black disagrees with the ambiguity of the Court. Even though the court reversed the conviction, there was no specifics on what would happen in a retrial. Overall, Black challenges the Court's use of the ""totality of circumstances"" standard to determine the fairness of identification procedures. He suggests that the Court is using subjectivity when determining fairness, and wants a more restrained interpretation of due process. He says that when the court believes something is “unfair” it is contrary to ideas implicit in ordered liberty, but in this scenario, they pushed the bounds and added their own subjectivity. ",0,Black,3,1,1,-,due process,1,-,1,1,0,-
