Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1,drew_from_2,Quotes,notes,,,,how used,notes
Wolf v. Colorado,338 U.S. 25,1949,"The main question is asking whether the 14th Amendment incorporates the 4th Amendment and the exclusionary rule. Adopting a selective incorporation approach, the Court decided that the 4th Amendment does apply to the states through the 14th Amendment, but the exclusionary rule, which prevents the state from using evidence obtained through unreasonable searches and seizures, is not incorporated and should be dealt with through legislatures.","Same argument as Murphy, Agrees that ordered liberty includes the 4th amendment search and seizure, but says that without the exclusionary rule, you are only paying the bill of rights ""lip service""",0,Rutledge,3,1,4,-,"unreasonable search and seizure, exclusionary rule",1,-,1,0,1,Palko,,"""I welcome the fact that the Court, in its slower progress toward this goal, today finds the substance of the Fourth Amendment ""to be implicit in the concept of ordered liberty, and thus, through the Fourteenth Amendment, . . . valid as against the states.""
""Compliance with the Bill of Rights betokens more than lip service.""",,,,,,
Stefanelli v. Minard,342 U.S. 117,1951,"Unwarranted searches and seizures were conducted by Newark Police officers, violating the 4th Amendment. The defendants sought relief from the federal district court to prevent the use of evidence obtained from the search in their criminal trial. But, the district court dismissed the complaint and a lower appellate court affirmed this dismissal. The Supreme Court also affirmed the dismissal.",mentioned,1,Frankfurter,1,1,4,,unreasonable search and seizure,1,,1,0,0,Palko,,"""Security of one's privacy against arbitrary intrusion by the police which is at the core of the Fourth Amendment is basic to a free society. It is therefore implicit in the concept of ordered liberty and as such enforceable against the states through the due process clause""","It should be noted that although the Courts reaffirmed the important of privacy against unwarrented search and seizure, it it chose not to grant the citizens' request for relief in this specific instance due ",,,,,
Rochin v. California,342 U.S. 165,1952,"After swallowing two pills, an emetic was forced into the petitioner's stomach without his consent. The morphine found in the petitioner's puke was used convict him.  Did this involuntary police procedure infringe the 5th Amendment (privilege against self-incrimination) and 14th Amendment (due process).",mentioned,1,FRANKFURTER,1,1,5,-,protection from self-incrimination,1,-,1,1,1,Palko,,"""""The security of one's privacy against arbitrary intrusion by the police -- which is at the core of the Fourth Amendment -- is basic to a free society. It is therefore implicit in 'the concept of ordered liberty' and as such enforceable  [**120]  against the States through the  [***142]  Due Process Clause""",security of one's privacy against abritary intrusion is implicit in OL,,,,,
Beauharnais v. Illinois,343 U.S. 250,1952,"Beauharnais was president of the ""White Circle League"" which petitioned Chicago government officials to halt harrassment against white people. He distributed media that reinforced the criminality of black citizens and called for the unity of white people against African Americans.  Did his convinction violate his constitutional right to free speech under the first and fourth amendment?","while states may have the authority to punish criminal libel, it must be done so in a manner that respects individual freedoms",0,"Jackson, Reed",3,1,1,-,freedom of speech,1,,1,0,1,Palko,,"""I agree with the Court that a State has power to bring classes ""of any race, color, creed, or religion"" within the protection of its libel laws, if indeed traditional forms do not already accomplish it.  But I am equally clear that in doing so it is essential to our concept of ordered liberty that the State also protect the accused by those safeguards the necessity for which is verified by legal history.""",,,,,,
Leland v. Oregon,343 U.S. 790,1952,"An Oregon State Court convicted Leland to first degree murder. He presented a defense of insanity but the state required him to prove he was insane beyond a reasonable doubt. The Supreme Court affirmed the Oregon State court's conviction. Due process wasn't violated ""either by the state's casting upon the defendant the burden of proving insanity ""beyond a reasonable doubt"" or by its choosing ""the right and wrong"" test rather than the ""irresistible impulse"" test of insanity.""",not included,not included,CLARK,1,1,-,-,,1,,1,1,1,Palko,,"""In these circumstances it is clear that adoption of the irresistible impulse test is not ""implicit in the concept of ordered liberty.""""",,,,,,
Rea v. United States,350 U.S. 214,1955,"A man in New Mexico was charged with unlawful acquisition of marihuana following a search warrant which was improperly issued (no probable cause was present). In his defense, he attempted to prevent the agent that seized the marihuana from testifying on the grounds his testimony was based on this search warrent. The court found in favour of the plaintiff; majority argued that it was necessary to disincentivise law enforcement from illegally acquiring evidence, dissent argued that it was not the court's role to supervise state law enforcement.",mentioned,,Harlan,3,1,4,-,probable cause,1,,,0,,Wolf v. Colorado,,,"""ordered liberty"" is mentioned only briefly, argument being that the court had previous found that despite the substance of the 4th amendment being ""implicit in the conecept of ordered liberty"", evidence unlawfully seized can still be used by prosecution",,,,,
Griffin v. Illinois,351 U.S. 12,1955,"A group of prisonners in Illinois were unable to pay for a complete transcript of their case which would have been necessary for appelate review, and argued that this constituted a denial of due process and equal protection.","Is the ability for ""an indigent"" to exercise their right to appeal implicit in the concept of ordered liberty?",,Harlan,3,1,-,-,equal protection,1,2,,0,,Palko,,,kind_2 = 2 since Harlan appeals to American legal history to make the case that the right to obtain transcripts for appeal free of charge is recent (only granted federally in 1944) --> not sure if this counts,,,,,
SWEEZY v. NEW HAMPSHIRE,354 U.S. 234,1957,"A professor was arrested under the New Hampshire Subversive Activities Act for a speech he gave and refused to answer the questions of the Attorney General pertaining to the speech. These questions were propounded to the professor by a local, he continued to refuse to answer, and was therefore judged in contempt of court. Did this violate the plaintiff's right to due process?",mentioned,,Frankfurter,2,1,1,5,"free association with regards to political party (see notes), protection from self-incrimination",1,,,1,,Palko,,,"no other amendments explicitly mentioned in concur, but majority opinion makes a first amendment argument for free association in political parties (one of the questions being asked was whether the prof was a member of the progressive party). 5th amendment right for protection against self-incrimination is mentioned briefly.",,,,,
Roth v. United States,354 U.S. 476,1957,"Plaintiff was a salesman convicted of mailing obscene materials under a California obscenity law which they argued (on appeal) was unconstitutional under the first amendment. The court upheld the conviction, arguing that material ""utterly without redeeming social value"" did not constitute constitutionally protected speech (the Roth test), and that the California obscenity statute was therefore constitutional.",mentioned,,Harlan,2,1,1,,free speech,1,2,,0,,Palko,,"""The States' power to make printed words criminal is, of course, confined by the Fourteenth Amendment, but only insofar as such power is inconsistent with our concepts of ""ordered liberty."" Palko v. Connecticut, 302 U.S. 319, 324-325.""","I think this case was tried together with Alberts v. California; ordered liberty comes up in the latter case. Harlan dissents in the Roth, but concurs in Alberts. In discussing ordered liberty implicitly, the majority opinion makes reference to historical documents to demonstrate that obscenity was not intended to be covered by 1A, hence kind_2 is also in use here.",,,,,
HOAG v. NEW JERSEY,356 U.S. 464,1958,"The petitioner was initially charged with robbing three victims at a tavern. In the first trial, he was acquitted. Later, a new indictment was issued, focusing on the robbery of a fourth victim. In the second trial, only the fourth victim testified, leading to a guilty verdict. The court affirmed the petitioner's conviction for robbery. They said that this did not violate double jeopardy, each robbery was considered a separate offense, even though they occurred on the same occasion.","OL is mentioned twice in the opinion, first it was used by the petitioner to claim that his 14th Amendment right to due process was violated plus the double jeopardy clause of the fifth amendment. Later it is used by Harlan to claim that the petitioner’s ordered liberties has not been violated by the State. The court argued that the state's decision to retry the petitioner was not arbitrary, the witnesses had failed to identify the petitioner in the first trial. The court is essentially asserting that, despite the unexpected events of a retrial, the state's actions do not go beyond the limits in ensuring a fair legal process, required by the notion of ""ordered justice"" or due process. ",0,Harlan,1,1,5,-,double jeopardy,1,,0,0,0,Palko,,"“...robberies infringed safeguards of the Double [****5]  Jeopardy Clause of the Fifth Amendment which are ""implicit in the concept of ordered liberty"" and that these safeguards as such are carried over under the Fourteenth Amendment as restrictions on the States.”

“Thus, whatever limits may confine the right of a State to institute separate trials for concededly different criminal offenses, it is plain to us that these limits have not been transgressed in this case.”","for OL_protect: The court allowed the petitioner to be indicted from his second trial so therefore, ordered liberty for both the justice’s context and OL in general did not protect the rights of the petitioner.",,,,,
BARTKUS v. ILLINOIS,359 U.S. 121,1959,"The petitioner was acquitted in a federal prosecution for bank robbery. Later, the petitioner was convicted in the Criminal Court of Cook County, Illinois, for violating the Illinois robbery statute. The state had identical facts as the federal indictment. The U.S. Supreme Court again affirmed the state court judgment.","Mentioned twice, once in opinion and once in footnotes. Ordered liberty is used to explain that the double jeopardy clause and due process, which prohibits multiple prosecutions for the same offense by the federal government, did not apply to the states through the Fourteenth Amendment. They quoted Palko for this. Ordered liberty was used to justify denying the double jeopardy clause to the petitioner. ",0,Frankfurter,1,1,5,-,double jeopardy,1,-,0,0,0,Palko,,,,,,,,
NAPUE v. ILLINOIS,360 U.S. 264,1959,"At the petitioner’s trial, their main witness, an accomplice to the petitioner, lied in his testimony saying that the prosecution did not promise him any benefits. But actually the prosecution had said “a recommendation for a reduction of his (the witness’) sentence would be made…” The petitioner filed a post-conviction petition, alleging that the witness’ testimony was false, the prosecutor knew it, and the failure to correct it violated due process under the Fourteenth Amendment. In the end, the court says the failure of the prosecutor to correct the testimony, which he knew was false, denied the petitioner due process of law. ","Ordered liberty is used to protect the petitioner’s right to due process under the 14th amendment because the term is used to support the argument that a State cannot use false evidence in order to convict someone. Knowingly using false evidence is something you cannot do, they claim this is “implicit in any concept of ordered liberty”",0,Warren,1,1,-,-,due process,1,,1,1,1,-,,"“The principle that a State may not knowingly use false evidence, including false testimony, to obtain a tainted conviction, implicit in any concept of ordered liberty, does not cease to apply merely because the false testimony goes only to the credibility of the witness.” – a state can’t knowingly use false evidence because it is common sense not to do so under ordered liberty

“The jury's estimate of the truthfulness and reliability of a given witness may well be determinative of guilt or innocence, and it is upon such subtle factors as the possible interest of the witness in testifying falsely that a defendant's life or liberty may depend.” — lying is not allowed even if it comes from the state",OL used as a “common sense” check i.e. implicit in the concept of ordered liberty. The court suggests that using false evidence violates these principles and jeopardizes the concept of ordered liberty. ,Finish this one out please :),,,,
Ohio ex rel. Eaton v. Price,364 U.S. 263,1960,"The petitioner was sent to jail for denying an Ohio municipal ordinance after he denied entry to house inspectors. The ordinance allowed housing inspectors, upon showing appropriate identification, to enter dwellings. It also required owners or occupants to give these inspectors free access. The petitioner said that they did not have identification. The case involved a dispute over the constitutionality of a city ordinance granting broad inspection powers to house inspectors; the court had a split opinion on the matter. The judgment was reversed, affirming that the charges against petitioner for refusing entry without a warrant would undermine the Fourth Amendment's protections.","OL is used in protecting individuals' privacy against arbitrary intrusion. The Fourth Amendment's protection against arbitrary intrusion by the police, implicit in the concept of ""ordered liberty,"" should be enforceable against the states. While the term, ordered liberty is just mentioned once, Palko is used throughout the case. The idea of a ""process of absorption"" from Palko implies a gradual inclusion of fundamental rights into the Fourteenth Amendment's protection against state infringement.",0,PER CURIAM,4,1,4,-,unreasonable searches and seizures,1,-,1,1,1,,,"“or  [**1470]  the Palko opinion refers to ""a process of absorption,"" 302 U.S., at 326, of specific Bill of Rights guarantees in the Fourteenth Amendment's standard. 8 [****23]  It  [***1716]  is not a license to the judiciary to administer a watered-down, subjective version of the individual guarantees of the Bill of Rights when state cases come before us.”
",,,,,,
Elkins v. United States *,364 U.S. 206,1960,"The defendants were convicted of intercepting and divulging telephone communications. This is due to evidence that was obtained through can unrelated warrant. Evidence was obtained District courts denied the defendant's motion to suppress the evidence due to claims that the search was unlawful, but the court stated that no federal officers were involved in the search conducted by state officers until it was reported. ","4th Amendment's protection against unreasonable searches and seizures apply to actions by federal officers AND state officers through DPC, is implicit in ordered liberty",0,Stewart ,1,1,4,,unwarranted search and seizure ,1,-,1,1,1,Wolf v. Colorado,," ""The security of one's privacy against arbitrary intrusion by the police . . . is . . . implicit in 'the concept of ordered liberty' and as such enforceable against the States through the Due Process Clause.""","this case nullified the ""silver platter"" doctrine, which previously allowed evidence obtained by state agents in an unreasonable search and seizure to be admissable in federal criminal trials under certian conditions",,,,,
Monroe v. Pape,365 U.S. 167,1961,"A complaint case was filed by a family against Chicago police officers and the city of Chicago as the officers unlawfully entered their home without a warrant, searched it, and arrested the husband without proper legal procedure. Originally, the District Court dismissed the complaints. The Supreme Court reversed the dismissal against the police officers but affirmed the dimissal against the dismall against the city of Chicago. ",mentioned,1,FRANKFUTHER,3,1,4,,unwarranted search and seizure ,1,,1,0,0,Palko,,"""The essence of their claim is that the police conduct here alleged offends those requirements of decency and fairness which, because they are ""implicit in the concept of ordered liberty,are imposed by the Due Process Clause upon the States. Palko v. Connecticut, 302 U.S. 319, 325. When we apply to their complaint that standard of a ""principle of justice so rooted in the traditions and conscience of our people as to be ranked as fundamental,"" 9Link to the text of the note which has been the touchstone for this Court's  [***517]  enforcement of due process, 10Link to the text of the note the merit of this constitutional claim is evident."" ","the judge affirmed the merit of the petitioner's usage of the Due Process clause and its application of ordered liberty but he believed that the statute should only cover actions sanctioned by the state. if the officers acted without state authority, the state should handle the matter not the federal statute.",,,,,
Cohen v. Hurley,366 U.S. 117,1961,"A lawyer in New York refused to answer questions during a judicial investigation into alleged professional misconduction, to whch he cited his state privilege against self-incrimination. The Appellate Division of the Supreme Court of NY disbarred him for refusing to participate, to which the NY courts of Appeals and the Supreme court affirmed. ",OL was used to as a threshold to protect the petitioner's 5th Amendment right against self incrimination,1,"Brennan, Warren",3,1,5,,immunity from compulsory self-incrimination,1,,1,1,1,Palko,,"""the Court held in 1949 that ""the security of one's privacy against arbitrary intrusion by the police . . . is . . . implicit in 'the concept of ordered liberty' and as such enforceable against the States . . . ."" Wolf v Colorado """"If we accept the standards which justify the application of a specific, namely that it is ""of the very essence of a scheme of ordered liberty,"" Palko","the judges are using ordered liberty as a guiding principle in determing the application of specific guarantees to states under the 14th Amendment. Here, the judges cited previous cases that emphasized the safeguarding of individual rights against arbitrary intrusion by the government, especially in matters of privacy and due process. Majority of the Supreme Court affirmed the petitioner's disbarment but Judge Brennan and Chief Justice Warren believes the lawyer was protected by the 5th Amendment;s immunity from compulsory self incrimination, safeguarded by the 14th Amendment. ",,,,,
Mapp v. Ohio,367 U.S. 643,1961,Mapp was convicted of possessing obscene material after an illegal police search in her home. ,OL was used to protect individual privacy rights against arbitrary intrusion,0,Clark,1,1,4,,unreasonable search and seizure,1,,1,1,1,Palko,,"""Nevertheless, after declaring that the ""security of one's privacy against arbitrary intrusion by the police"" is ""implicit in 'the concept of ordered liberty' and as such enforceable against the States through the Due Process Clause,"" cf. Palko v. Connecticut,,, ""without that rule the freedom from state invasions of privacy would be so ephemeral and so neatly severed from its conceptual nexus with the freedom from all brutish means of coercing evidence as not to merit this Court's high regard as a freedom ""implicit in the concept of ordered liberty.""",,,,,,
Mapp v. Ohio,367 U.S. 643,1961,Mapp was convicted of possessing obscene material after an illegal police search in her home. ,OL was to challege the majority's reasoning. ,0,"Harlan, Frankfurter, Whittaker",3,1,4,,unreasonable search and seizure,1,,1,0,0,Wolf v Colorado,,"""This reasoning ultimately rests on the unsound premise that because Wolf carried into the States, as part of ""the concept of ordered liberty"" embodied in the Fourteenth Amendment, the principle of ""privacy"" underlying the Fourth Amendment (338 U.S., at 27), it must follow that whatever configurations of the Fourth Amendment have been developed in the particularizing federal precedents are likewise to be deemed a part of ""ordered liberty,""  [*679]  and as such are enforceable against the States. For me, this does not follow at all.""","the majority argued that because the concept of privacy is a part of ordered liberty protected by the 14th amendment, all aspects of the 14th amendment rulings made in federal cases should apply to cases automatically BUT the deissenting opinion argues that just because privacy is considered part of OL, doesn't mean every detail of the 4th Amendment rulings ta federal cases should apply to states in the same way. ",,,,,
Poe v. Ullman,367 U.S. 497,1961,"2 married couples and a doctor sue the state of Connecticut for banning the use and prescription of contraceptives. The Supreme Court dissmisses their suit on the grounds that the law is almost never enforced, and that it therefore does not constitute a pressing legal issue of the kind the Supreme Court is required to rule about.",The right to privacy assured in the 4th amendment and expanded upon by jurisprudence is necessary to the ordered liberty guaranteed by the 14th,0,Douglas,3,1,4,3,"privacy, protection from government intrusion",1,2,1,0,1,Wolf v Colorado,Prince v Massachusetts,"“the concept of ‘privacy’ embodied in the Fourth Amendment is part of the ""ordered liberty"" assured against state action by the Fourteenth Amendment.” (pg. 549). \\ “It is one thing when the State exerts its power either to forbid extra-marital sexuality altogether, or to say who may marry, but it is quite another when, having acknowledged a marriage and the intimacies inherent in it, it undertakes to regulate by means of the criminal law the details of that intimacy.” (pg. 553)",https://docs.google.com/document/d/10IRWn5rS2hITxFLNWYxgihD7MyRa41pdOCjIowQ2x64/edit,,,,,
Robinson v. California,370 U.S. 660,1962,"A defendant in the State of California was found guilty under California drug laws based on needle marks/scars in his arm. This conviction was upheld by lower courts. The Supreme Court overturned his conviction, arguing that, since no evidence was ever actually presented of the defendant using illicit substances at the time of his arrest (or even within the state of California), the man was convicted specifically of being addicted to narcotics (which is a clause in the law in question). This was found by the court to constitute cruel and unusual punishment.",Does the criminalisation of addition constitute cruel and unusual punishment?,1,"Clark, White",3,1,8,,cruel and unusual punishment,1,,0,1,0,,,"""I deem this application of ""cruel and unusual punishment"" so novel that I suspect the Court was hard put to find a way to ascribe to the Framers of the Constitution the result reached today rather than to its own notions of ordered liberty.” (pg. 689).",,,,,,
Gideon v. Wainwright,372 U.S. 335,1963,"A defendant in Florida was convicted of a felony after the court denied his request for an attorney (the defendant was not able to afford one), which was legal for non-capital offences. While lower courts upheld the conviction, the Supreme Court (unanimously) overturned it, on the basis that the 6th amendment guarantees the right to an attorney and the 14th requires that this be done on a state level as well, overruling Betts v. Brady (1942).",Is the right to an attorney implicit in ordered liberty?,0,"Black, Harlan","1, 2",1,6,,right to an attorney,1,3,1,1,1,Palko,,"“Lawyers to prosecute are everywhere deemed essential to protect the public's interest in an orderly society. [...] That government hires lawyers to prosecute and defendants who have the money hire lawyers to defend are the strongest indications of the widespread belief that lawyers in criminal courts are necessities, not luxuries. The right of one charged with crime to counsel may not be deemed fundamental and essential to fair trials in some countries, but it is in ours.” (pg. 344)",,,,,,
